Ticker,Date,Close,High,Low,Open,Volume,ACES,ADRO,AKRA,AMMN,AMRT,ANTM,ASII,BBCA,BBNI,BBRI,BBTN,BKSL,BMRI,BRPT,BSDE,BUKA,BUVA,BYAN,COAL,CPIN,DMAS,EIDO,ELSA,ESSA,EXCL,GOLD,GOTO,HMSP,ICBP,IHSG,INDF,INKP,ITMG,JPFA,JSMR,KLBF,MAPI,MBMA,MDKA,MEDC,NICKEL,NRCA,OIL,PGAS,PTBA,PWON,RAJA,SMDR,SP500,SSIA,TINS,TKIM,TLKM,TPIA,UNTR,UNVR,US10Y,USDIDR,ret_5,ret_20,ret_60,std_5,std_20,vcp_squeeze,avg_turnover,target,prob,Log_Date
PKPK.JK,2026-04-28,3300.0,3660.0,3120.0,3650.0,9507600.0,0.0,-0.03952569169960474,0.054054054054053946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07432432432432434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.025380710659898442,0.026058631921824116,0.0,0.0,0.0,0.0,0.0,0.0,0.010204081632652962,0.0,0.0,0.0,0.0,0.0,0.014814814814814836,0.0,0.005797101449275255,,0.0,0.0,-0.028205128205128216,0.0,0.006024096385542244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26436781609195403,0.625615763546798,0.375,0.09500187108627059,0.07811179609582333,1.2162294892502272,11413081050.0,0,0.7570681,2026-05-04
PKPK.JK,2026-04-28,3300.0,3660.0,3120.0,3650.0,9507600.0,0.0,-0.03952569169960474,0.054054054054053946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07432432432432434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.025380710659898442,0.026058631921824116,0.0,0.0,0.0,0.0,0.0,0.0,0.010204081632652962,0.0,0.0,0.0,0.0,0.0,0.014814814814814836,0.0,0.005797101449275255,,0.0,0.0,-0.028205128205128216,0.0,0.006024096385542244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26436781609195403,0.625615763546798,0.375,0.09500187108627059,0.07811179609582333,1.2162294892502272,11413081050.0,0,0.7533034,2026-05-04
PKPK.JK,2026-04-28,3300.0,3660.0,3120.0,3650.0,9507600.0,0.0,-0.03952569169960474,0.054054054054053946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07432432432432434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.025380710659898442,0.026058631921824116,0.0,0.0,0.0,0.0,0.0,0.0,0.010204081632652962,0.0,0.0,0.0,0.0,0.0,0.014814814814814836,0.0,0.005797101449275255,,0.0,0.0,-0.028205128205128216,0.0,0.006024096385542244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26436781609195403,0.625615763546798,0.375,0.09500187108627059,0.07811179609582337,1.2162294892502266,11413081050.0,0,0.7560739,2026-05-06
PKPK.JK,2026-04-28,3300.0,3660.0,3120.0,3650.0,9507600.0,0.0,-0.03952569169960474,0.054054054054053946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07432432432432434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.025380710659898442,0.026058631921824116,0.0,0.0,0.0,0.0,0.0,0.0,0.010204081632652962,0.0,0.0,0.0,0.0,0.0,0.014814814814814836,0.0,0.005797101449275255,,0.0,0.0,-0.028205128205128216,0.0,0.006024096385542244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26436781609195403,0.625615763546798,0.375,0.09500187108627059,0.07811179609582337,1.2162294892502266,11413081050.0,0,0.75321907,2026-05-07
PKPK.JK,2026-04-28,3300.0,3660.0,3120.0,3650.0,9507600.0,0.0,-0.03952569169960474,0.054054054054053946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07432432432432434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.025380710659898442,0.026058631921824116,0.0,0.0,0.0,0.0,0.0,0.0,0.010204081632652962,0.0,0.0,0.0,0.0,0.0,0.014814814814814836,0.0,0.005797101449275255,,0.0,0.0,-0.028205128205128216,0.0,0.006024096385542244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26436781609195403,0.625615763546798,0.375,0.09500187108627059,0.07811179609582337,1.2162294892502266,11413081050.0,0,0.7580945,2026-05-08
PKPK.JK,2026-04-28,3300.0,3660.0,3120.0,3650.0,9507600.0,0.0,-0.03952569169960474,0.054054054054053946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07432432432432434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.025380710659898442,0.026058631921824116,0.0,0.0,0.0,0.0,0.0,0.0,0.010204081632652962,0.0,0.0,0.0,0.0,0.0,0.014814814814814836,0.0,0.005797101449275255,,0.0,0.0,-0.028205128205128216,0.0,0.006024096385542244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26436781609195403,0.625615763546798,0.375,0.09500187108627059,0.07811179609582337,1.2162294892502266,11413081050.0,0,0.7551838,2026-05-11
PKPK.JK,2026-04-28,3300.0,3660.0,3120.0,3650.0,9507600.0,0.0,-0.03952569169960474,0.054054054054053946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07432432432432434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.025380710659898442,0.026058631921824116,0.0,0.0,0.0,0.0,0.0,0.0,0.010204081632652962,0.0,0.0,0.0,0.0,0.0,0.014814814814814836,0.0,0.005797101449275255,,0.0,0.0,-0.028205128205128216,0.0,0.006024096385542244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26436781609195403,0.625615763546798,0.375,0.09500187108627059,0.07811179609582333,1.2162294892502272,11413081050.0,0,0.7614985,2026-05-12
PKPK.JK,2026-04-28,3300.0,3660.0,3120.0,3650.0,9507600.0,0.0,-0.03952569169960474,0.054054054054053946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07432432432432434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.025380710659898442,0.026058631921824116,0.0,0.0,0.0,0.0,0.0,0.0,0.010204081632652962,0.0,0.0,0.0,0.0,0.0,0.014814814814814836,0.0,0.005797101449275255,,0.0,0.0,-0.028205128205128216,0.0,0.006024096385542244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26436781609195403,0.625615763546798,0.375,0.09500187108627059,0.07811179609582335,1.216229489250227,11413081050.0,0,0.7617512,2026-05-18
KOTA.JK,2026-04-28,130.0,138.0,124.0,137.0,687824700.0,0.0,-0.03952569169960474,0.054054054054053946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07432432432432434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.025380710659898442,0.026058631921824116,0.0,0.0,0.0,0.0,0.0,0.0,0.010204081632652962,0.0,0.0,0.0,0.0,0.0,0.014814814814814836,0.0,0.005797101449275255,,0.0,0.0,-0.028205128205128216,0.0,0.006024096385542244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23809523809523814,1.280701754385965,1.03125,0.15042162856027994,0.09738557227872725,1.544598686396374,127790420175.0,0,0.7519022,2026-05-22
PKPK.JK,2026-04-28,3300.0,3660.0,3120.0,3650.0,9507600.0,0.0,-0.03952569169960474,0.054054054054053946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07432432432432434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.025380710659898442,0.026058631921824116,0.0,0.0,0.0,0.0,0.0,0.0,0.010204081632652962,0.0,0.0,0.0,0.0,0.0,0.014814814814814836,0.0,0.005797101449275255,,0.0,0.0,-0.028205128205128216,0.0,0.006024096385542244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26436781609195403,0.625615763546798,0.375,0.09500187108627059,0.07811179609582335,1.216229489250227,11413081050.0,0,0.75126207,2026-06-09
