date,ACES,ADRO,AKRA,AMMN,AMRT,ANTM,ASII,BBCA,BBNI,BBRI,BBTN,BKSL,BMRI,BRPT,BSDE,BUKA,BUVA,BYAN,COAL,CPIN,DMAS,EIDO,ELSA,ESSA,EXCL,GOLD,GOTO,HMSP,ICBP,IHSG,INDF,INKP,ITMG,JPFA,JSMR,KLBF,MAPI,MBMA,MDKA,MEDC,NICKEL,NRCA,OIL,PGAS,PTBA,PWON,RAJA,SMDR,SP500,SSIA,TINS,TKIM,TLKM,TPIA,UNTR,UNVR,US10Y,USDIDR
1995-01-02,58.00801849365234,296.30412724665825,22.67806434631348,2800.0,237.2187042236328,370.9226684570313,61.035491943359375,182.58624267578125,294.0596618652344,46.42354965209961,1012.1744384765624,442.5997924804688,106.0689926147461,6.173867225646973,610.048508622483,264.0,215.0,374.3023376464844,122.5,21.57300567626953,70.29010009765625,16.0423583984375,66.5979995727539,74.0039291381836,1666.7376708984375,273.8999938964844,93.0,182.836181640625,1739.948974609375,470.1217346191406,408.51611328125,878.4079578644638,9312.65625,73.00140380859375,1538.0091552734375,26.930761337280277,60.19480514526367,805.0,379.9270324707031,540.8072044459096,,298.8292236328125,32.04999923706055,606.1594150460882,32.99675369262695,14.723761558532717,11.575096130371094,7.500339031219482,1455.219970703125,619.376220703125,68.48959271555313,2150.53872007592,408.131591796875,97.10906219482422,136.16395568847656,320.9478759765625,6.547999858856201,11448.0
1995-01-03,58.00801849365234,296.30412724665825,22.67806434631348,2800.0,237.2187042236328,370.9226684570313,61.035491943359375,182.58624267578125,294.0596618652344,46.42354965209961,1012.1744384765624,442.5997924804688,106.0689926147461,6.173867225646973,610.048508622483,264.0,215.0,374.3023376464844,122.5,21.57300567626953,70.29010009765625,16.0423583984375,66.5979995727539,74.0039291381836,1666.7376708984375,273.8999938964844,93.0,182.836181640625,1739.948974609375,472.3616333007813,408.51611328125,878.4079578644638,9312.65625,73.00140380859375,1538.0091552734375,26.930761337280277,60.19480514526367,805.0,379.9270324707031,540.8072044459096,,298.8292236328125,32.04999923706055,606.1594150460882,32.99675369262695,14.723761558532717,11.575096130371094,7.500339031219482,1455.219970703125,619.376220703125,68.48959271555313,2150.53872007592,408.131591796875,97.10906219482422,136.16395568847656,320.9478759765625,6.547999858856201,11448.0
1995-01-04,58.00801849365234,296.30412724665825,22.67806434631348,2800.0,237.2187042236328,370.9226684570313,61.035491943359375,182.58624267578125,294.0596618652344,46.42354965209961,1012.1744384765624,442.5997924804688,106.0689926147461,6.173867225646973,610.048508622483,264.0,215.0,374.3023376464844,122.5,21.57300567626953,70.29010009765625,16.0423583984375,66.5979995727539,74.0039291381836,1666.7376708984375,273.8999938964844,93.0,182.836181640625,1739.948974609375,474.4715270996094,408.51611328125,878.4079578644638,9312.65625,73.00140380859375,1538.0091552734375,26.930761337280277,60.19480514526367,805.0,379.9270324707031,540.8072044459096,,298.8292236328125,32.04999923706055,606.1594150460882,32.99675369262695,14.723761558532717,11.575096130371094,7.500339031219482,1455.219970703125,619.376220703125,68.48959271555313,2150.53872007592,408.131591796875,97.10906219482422,136.16395568847656,320.9478759765625,6.547999858856201,11448.0
1995-01-05,58.00801849365234,296.30412724665825,22.67806434631348,2800.0,237.2187042236328,370.9226684570313,61.035491943359375,182.58624267578125,294.0596618652344,46.42354965209961,1012.1744384765624,442.5997924804688,106.0689926147461,6.173867225646973,610.048508622483,264.0,215.0,374.3023376464844,122.5,21.57300567626953,70.29010009765625,16.0423583984375,66.5979995727539,74.0039291381836,1666.7376708984375,273.8999938964844,93.0,182.836181640625,1739.948974609375,477.8014221191406,408.51611328125,878.4079578644638,9312.65625,73.00140380859375,1538.0091552734375,26.930761337280277,60.19480514526367,805.0,379.9270324707031,540.8072044459096,,298.8292236328125,32.04999923706055,606.1594150460882,32.99675369262695,14.723761558532717,11.575096130371094,7.500339031219482,1455.219970703125,619.376220703125,68.48959271555313,2150.53872007592,408.131591796875,97.10906219482422,136.16395568847656,320.9478759765625,6.547999858856201,11448.0
1995-01-06,58.00801849365234,296.30412724665825,22.67806434631348,2800.0,237.2187042236328,370.9226684570313,61.035491943359375,182.58624267578125,294.0596618652344,46.42354965209961,1012.1744384765624,442.5997924804688,106.0689926147461,6.173867225646973,610.048508622483,264.0,215.0,374.3023376464844,122.5,21.57300567626953,70.29010009765625,16.0423583984375,66.5979995727539,74.0039291381836,1666.7376708984375,273.8999938964844,93.0,182.836181640625,1739.948974609375,481.2012634277344,408.51611328125,878.4079578644638,9312.65625,73.00140380859375,1538.0091552734375,26.930761337280277,60.19480514526367,805.0,379.9270324707031,540.8072044459096,,298.8292236328125,32.04999923706055,606.1594150460882,32.99675369262695,14.723761558532717,11.575096130371094,7.500339031219482,1455.219970703125,619.376220703125,68.48959271555313,2150.53872007592,408.131591796875,97.10906219482422,136.16395568847656,320.9478759765625,6.547999858856201,11448.0
1995-01-09,58.00801849365234,296.30412724665825,22.67806434631348,2800.0,237.2187042236328,370.9226684570313,61.035491943359375,182.58624267578125,294.0596618652344,46.42354965209961,1012.1744384765624,442.5997924804688,106.0689926147461,6.173867225646973,610.048508622483,264.0,215.0,374.3023376464844,122.5,21.57300567626953,70.29010009765625,16.0423583984375,66.5979995727539,74.0039291381836,1666.7376708984375,273.8999938964844,93.0,182.836181640625,1739.948974609375,477.0214538574219,408.51611328125,878.4079578644638,9312.65625,73.00140380859375,1538.0091552734375,26.930761337280277,60.19480514526367,805.0,379.9270324707031,540.8072044459096,,298.8292236328125,32.04999923706055,606.1594150460882,32.99675369262695,14.723761558532717,11.575096130371094,7.500339031219482,1455.219970703125,619.376220703125,68.48959271555313,2150.53872007592,408.131591796875,97.10906219482422,136.16395568847656,320.9478759765625,6.547999858856201,11448.0
1995-01-10,58.00801849365234,296.30412724665825,22.67806434631348,2800.0,237.2187042236328,370.9226684570313,61.035491943359375,182.58624267578125,294.0596618652344,46.42354965209961,1012.1744384765624,442.5997924804688,106.0689926147461,6.173867225646973,610.048508622483,264.0,215.0,374.3023376464844,122.5,21.57300567626953,70.29010009765625,16.0423583984375,66.5979995727539,74.0039291381836,1666.7376708984375,273.8999938964844,93.0,182.836181640625,1739.948974609375,468.6717529296875,408.51611328125,878.4079578644638,9312.65625,73.00140380859375,1538.0091552734375,26.930761337280277,60.19480514526367,805.0,379.9270324707031,540.8072044459096,,298.8292236328125,32.04999923706055,606.1594150460882,32.99675369262695,14.723761558532717,11.575096130371094,7.500339031219482,1455.219970703125,619.376220703125,68.48959271555313,2150.53872007592,408.131591796875,97.10906219482422,136.16395568847656,320.9478759765625,6.547999858856201,11448.0
1995-01-11,58.00801849365234,296.30412724665825,22.67806434631348,2800.0,237.2187042236328,370.9226684570313,61.035491943359375,182.58624267578125,294.0596618652344,46.42354965209961,1012.1744384765624,442.5997924804688,106.0689926147461,6.173867225646973,610.048508622483,264.0,215.0,374.3023376464844,122.5,21.57300567626953,70.29010009765625,16.0423583984375,66.5979995727539,74.0039291381836,1666.7376708984375,273.8999938964844,93.0,182.836181640625,1739.948974609375,461.3820495605469,408.51611328125,878.4079578644638,9312.65625,73.00140380859375,1538.0091552734375,26.930761337280277,60.19480514526367,805.0,379.9270324707031,540.8072044459096,,298.8292236328125,32.04999923706055,606.1594150460882,32.99675369262695,14.723761558532717,11.575096130371094,7.500339031219482,1455.219970703125,619.376220703125,68.48959271555313,2150.53872007592,408.131591796875,97.10906219482422,136.16395568847656,320.9478759765625,6.547999858856201,11448.0
1995-01-12,58.00801849365234,296.30412724665825,22.67806434631348,2800.0,237.2187042236328,370.9226684570313,61.035491943359375,182.58624267578125,294.0596618652344,46.42354965209961,1012.1744384765624,442.5997924804688,106.0689926147461,6.173867225646973,610.048508622483,264.0,215.0,374.3023376464844,122.5,21.57300567626953,70.29010009765625,16.0423583984375,66.5979995727539,74.0039291381836,1666.7376708984375,273.8999938964844,93.0,182.836181640625,1739.948974609375,452.67236328125,408.51611328125,878.4079578644638,9312.65625,73.00140380859375,1538.0091552734375,26.930761337280277,60.19480514526367,805.0,379.9270324707031,540.8072044459096,,298.8292236328125,32.04999923706055,606.1594150460882,32.99675369262695,14.723761558532717,11.575096130371094,7.500339031219482,1455.219970703125,619.376220703125,68.48959271555313,2150.53872007592,408.131591796875,97.10906219482422,136.16395568847656,320.9478759765625,6.547999858856201,11448.0
1995-01-13,58.00801849365234,296.30412724665825,22.67806434631348,2800.0,237.2187042236328,370.9226684570313,61.035491943359375,182.58624267578125,294.0596618652344,46.42354965209961,1012.1744384765624,442.5997924804688,106.0689926147461,6.173867225646973,610.048508622483,264.0,215.0,374.3023376464844,122.5,21.57300567626953,70.29010009765625,16.0423583984375,66.5979995727539,74.0039291381836,1666.7376708984375,273.8999938964844,93.0,182.836181640625,1739.948974609375,441.852783203125,408.51611328125,878.4079578644638,9312.65625,73.00140380859375,1538.0091552734375,26.930761337280277,60.19480514526367,805.0,379.9270324707031,540.8072044459096,,298.8292236328125,32.04999923706055,606.1594150460882,32.99675369262695,14.723761558532717,11.575096130371094,7.500339031219482,1455.219970703125,619.376220703125,68.48959271555313,2150.53872007592,408.131591796875,97.10906219482422,136.16395568847656,320.9478759765625,6.547999858856201,11448.0
